"Accessoire";"Alimentation";"Application";"Bluetooth";"Branchement";"Bus (FSB)";"Capacite";"Capacite du disque dur (Go)";"Chipset";"Compatibilite";"Connecteur";"Connectique";"Constructeur";"Couleur";"Débit d'air";"Dimensions";"Etat 2";"Facteur de forme";"Format";"Forme ergonomique";"Frequence memoire (MHz)";"Frequence Processeur";"Garantie constructeur";"Garantie Marchand";"Images par seconde";"Interface";"Largeur";"Longueur";"Marque";"Materiau";"Memoire cache de niveau 2";"Memoire (RAM)";"Modele";"Niveau sonore";"Nombre de ports";"Nombre de prises";"Norme";"Options";"Packaging";"Plateforme";"Processeur";"Puissance (W)";"RAM compatible";"Replicateur de port";"Resolution video (pixels)";"Sous-format";"Sous-type ";"Systeme d'exploitation";"Taille de l'ecran";"Technologie";"Titre 2";"Type";"Type 2";"Type d'adapteur";"Type de boitier";"Type de cable";"Type de capteur";"Type de clavier";"Type de connecteur";"Type de souris";"Type de systeme";"Vitesse d'ecriture CD";"Vitesse d'ecriture DVD";"Vitesse de rotation"
"";"";"";"";"";"";"";"";"";"";"Socket 700";"TV-In";"ELSA";"Violet";"";"";"";"";"";"";"";"";"";"";"";"FireWire";"";"";"AeroCool";"";"";"512";"GeForce 4-";"";"";"";"PC2-8500";"Telecommande sur fil";"";"Vsmile";"AMD Mobile Sempron";"";"L2 cache";"";"800x600";"";"DVD+RW";"Sun Solaris";"";"";"";"Cable";"Kit vibration";"";"";"Modem, Telephone";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket 754";"TV-Out";"Enmik His";"";"";"";"";"";"";"";"";"";"";"";"";"Firewire";"";"";"Agama";"";"";"512 Mo";"GeForce 5200";"";"";"";"PC2-8888";"Zoom numerique";"";"";"AMD Opteron";"";"Micro DIMM";"";"960x720";"";"DVD+RW Double couche";"Symbian";"";"";"";"Case Modding";"Manette";"";"";"Optique";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket 771";"USB 1.1";"Fujitsu-Siemens";"";"";"";"";"";"";"";"";"";"";"";"";"Firewire IEEE1394";"";"";"Agfa";"";"";"6";"GeForce 5500";"";"";"";"PC2100";"Zoom optique";"";"";"AMD Sempron";"";"PC 1066";"";"Autre";"";"DVD-R";"Tapwave Zodiac";"";"";"";"Chargeur";"Tapis de danse";"";"";"Parallele";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket 775";"USB 2.0";"Gainward";"";"";"";"";"";"";"";"";"";"";"";"";"GBIC";"";"";"Ahanix";"";"";"64";"GeForce 5600";"";"";"";"PC2700";"";"";"";"AMD Turion 64";"";"PC 1600";"";"";"";"DVD-R Double couche";"Unix";"";"";"";"Clavier";"Volant";"";"";"Peritel";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket 8";"VGA";"Galaxy";"";"";"";"";"";"";"";"";"";"";"";"";"Hi-Speed USB";"";"";"Aiwa";"";"";"8";"GeForce 5700";"";"";"";"PC3200";"";"";"";"ARM710";"";"PC 2100 DDR Memory";"";"";"";"DVD-RAM";"Windows 2000";"";"";"";"Eclairage";"";"";"";"RCA";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket 939";"ViVo";"Gecube";"";"";"";"";"";"";"";"";"";"";"";"";"IDE";"";"";"Akasa";"";"";"8 Go";"GeForce 5750";"";"";"";"PC3500";"";"";"";"ARM710T";"";"PC 2700 DDR Memory";"";"";"";"DVD-RAM/DVD-R";"Windows 3x and below";"";"";"";"Ecouteurs a clips d'oreilles";"";"";"";"S-Video";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket 940";"";"Gigabyte";"";"";"";"";"";"";"";"";"";"";"";"";"IDE/EIDE";"";"";"Albatron";"";"";"8000";"GeForce 5800";"";"";"";"PC4000";"";"";"";"Athlon 64";"";"PC 3200 DDR Memory";"";"";"";"DVD-RAM/DVD-RW";"Windows 95";"";"";"";"Ecouteurs intra-auriculaires, In-ear";"";"";"";"SCSI";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket A";"";"Guillemont";"";"";"";"";"";"";"";"";"";"";"";"";"ISA";"";"";"Alienware";"";"";"Autre";"GeForce 5900";"";"";"";"PC4200";"";"";"";"Athlon 64 FX";"";"PC 3500 DDR Memory";"";"";"";"DVD-RW";"Windows 98";"";"";"";"Ecouteurs oreillettes";"";"";"";"SVHS";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket AM2";"";"HIS";"";"";"";"";"";"";"";"";"";"";"";"";"ISCSI";"";"";"Altec Lansing";"";"";"Moins de 128";"GeForce 5950";"";"";"";"PC4300";"";"";"";"Athlon 64 X2";"";"PC 4000 DDR Memory";"";"";"";"Disquette 3'' 1/2";"Windows 98SE";"";"";"";"Externe";"";"";"";"Satellite-Numerique";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket AM2+";"";"HP";"";"";"";"";"";"";"";"";"";"";"";"";"Infrarouge";"";"";"Amarina";"";"";"Plus de 4000";"GeForce 6100";"";"";"";"PC4400";"";"";"";"Athlon XP";"";"PC-100 SDRAM Memory";"";"";"";"Disquette 5'' 1/4";"Windows 98Se";"";"";"";"Filaire";"";"";"";"Serie";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket AM3";"";"Hauppauge";"";"";"";"";"";"";"";"";"";"";"";"";"LAN";"";"";"Anchor";"";"";"";"GeForce 6150";"";"";"";"Parallele";"";"";"";"Athlon XP-M";"";"PC-133 SDRAM Memory";"";"";"";"Disquette ZIP";"Windows Advanced Server 2003";"";"";"";"FireWire";"";"";"";"USB";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket F";"";"Hercules";"";"";"";"";"";"";"";"";"";"";"";"";"Mini PCI-E";"";"";"Antec";"";"";"";"GeForce 6200";"";"";"";"SAS";"";"";"";"Autre";"";"PC-3000";"";"";"";"HD-DVD";"Windows ME";"";"";"";"Flex-ATX";"";"";"";"VGA";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Socket L";"";"Hewlett-Packard";"";"";"";"";"";"";"";"";"";"";"";"";"Mini-GBIC";"";"";"Aopen";"";"";"";"GeForce 6500";"";"";"";"SATA";"";"";"";"Celeron";"";"PC-3700";"";"";"";"Housse de protection";"Windows NT";"";"";"";"Graveur";"";"";"";"Video BNC";"";"";"";"";"";"";"";""
