"AirPlay";"Alarme";"Alimentation";"Autonomie";"Batterie";"Bluetooth";"Caisson basses intégré";"Capacité HDD";"Capacité maximale de RAM";"Capacité maximale de RAM par slot";"Capacité mémoire";"Carte mémoire fournie";"Chipset";"Chipset audio";"Chipset graphique";"Clavier rétroéclairé";"Compatibilité";"Compatible 3D";"Connecteur réseau";"Connecteurs panneau arrière";"Connecteurs panneau avant";"Consommable";"Consommation";"Consommation en veille";"Constructeur";"Contraste";"Contrôleur graphique intégré";"Contrôleur réseau intégré";"Couleur";"Dalle brillante";"DLNA";"Dock";"Dot Pitch";"Ecran tactile";"Emplacement";"Enregistrement HD";"Entrée audio";"Entrée vidéo";"Etanchéité";"Famille OS";"Fixation";"Format boîtier";"Format de disque";"Format de l'écran";"Format du produit";"Fréquence CPU";"Fréquence mémoire";"Fréquence rafraichissement max";"Gamme";"Garantie";"GPS";"Hauteur";"Haut-parleurs";"Hertz";"Infos traffic";"Interface";"Largeur";"Lecteur biométrique";"Lecteur de cartes";"Lecteur de disquettes";"Lecteur intégré";"Lecteur optique";"Longueur";"Luminosité";"Mains libres";"Matière";"Mémoire RAM";"Microphone intégré";"Mode 3D";"Modèle";"Motif";"MP3";"Niveau sonore";"Nombre de barrettes";"Nombre de canaux audio";"Nombre de licences";"Nombre d'emplacements 3,5 pouces";"Nombre d'emplacements 5,25 pouces";"Nombre de ports";"Nombre et type de slots";"Norme";"Norme du clavier";"Norme réseau";"Pages par minute";"Pavé numérique";"Picoprojecteur";"Pile rechargeable";"Pliable";"Portable";"Portée";"Port USB";"Processeur";"Profondeur";"Projecteur";"Puissance sonore";"Radio";"Répondeur";"Résolution max";"Routeur";"Sans-fil"
"";"";"";"";"";"";"";"8 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2-3200";"";"";"";"";"";"";"";"";"";"";"AMD Geode";"";"";"23 W";"";"";"14,1 Mégapixels";"";""
"";"";"";"";"";"";"";"Autre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2-4200";"";"";"";"";"";"";"";"";"";"";"AMD K6/K6-2";"";"";"25 W";"";"";"14,2 Mégapixels";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5.5 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2-4300";"";"";"";"";"";"";"";"";"";"";"AMD K7";"";"";"28 W";"";"";"14,3 Mégapixels";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2-5300";"";"";"";"";"";"";"";"";"";"";"AMD Mobile Athlon 64";"";"";"3 W";"";"";"14,4 Mégapixels";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2-5400";"";"";"";"";"";"";"";"";"";"";"AMD Mobile Athlon XP-M";"";"";"30 W";"";"";"14,6 Mégapixels";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6.5 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2-6400";"";"";"";"";"";"";"";"";"";"";"AMD Mobile Athlon-4";"";"";"32 W";"";"";"14,7 Mégapixels";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6.51 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2-8500";"";"";"";"";"";"";"";"";"";"";"AMD Mobile Duron";"";"";"4 W";"";"";"15 Mégapixels";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2-8888";"";"";"";"";"";"";"";"";"";"";"AMD Mobile Sempron";"";"";"5 W";"";"";"15,1 Mégapixels";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2100";"";"";"";"";"";"";"";"";"";"";"AMD Opteron";"";"";"50 W";"";"";"15,9 Mégapixels";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 m";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PC2700";"";"";"";"";"";"";"";"";"";"";"AMD Phenom";"";"";"6 W";"";"";"16 Mégapixels";"";""
